Index,Time_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1,0,2216,4292,16788,-747,1040,-1068
2,153,1932,3496,16472,607,-191,-46
3,306,1752,3916,15968,743,463,-91
4,460,2276,4700,17000,1422,-1099,259
5,613,2104,3656,16568,1170,984,-177
6,766,2092,3732,16596,1707,-438,-177
7,919,1796,4004,16568,908,-323,-308
8,1072,1920,3900,16732,885,305,10
9,1225,1728,4824,17216,701,36,-191
10,1378,2048,4184,17324,787,-103,-191
11,1531,1888,3920,16568,970,-316,55
12,1684,1652,4928,16816,48,383,-153
13,1837,1652,3888,16144,-49,266,-319
14,1996,1720,3536,15948,635,4,229
15,2150,1772,3760,16412,-115,591,-262
16,2303,1428,3688,15196,177,659,-269
17,2456,1640,4112,16604,649,-127,-116
18,2609,1280,4272,15848,450,353,4
19,2762,1436,3980,15652,688,-227,-367
20,2915,1596,4004,16408,471,149,-108
21,3068,1524,4384,16636,216,19,-32
22,3221,1516,4484,16624,258,422,74
23,3374,1488,4136,16332,124,438,-47
24,3527,1700,3608,16708,899,-241,209
25,3680,1464,4552,16408,-624,745,-364
26,3833,1504,4308,16700,557,-48,-166
27,3986,972,4756,15644,323,169,171
28,4146,1300,4444,16400,462,752,188
29,4299,1448,4208,16388,325,-167,-402
30,4452,1428,4068,16520,899,-273,-151
31,4605,1104,4032,15604,492,80,69
32,4758,1228,4380,16036,529,250,63
33,4911,1548,3692,16272,-47,230,-676
34,5064,1388,3932,16372,351,437,-211
35,5217,1568,3388,16160,80,199,-216
36,5370,1364,3776,16124,692,419,401
37,5523,1188,3788,15680,933,147,119
38,5676,1456,4112,17004,563,426,-180
39,5829,1016,3868,15568,175,372,-344
40,5983,1452,4212,17300,694,-249,399
41,6136,1072,4220,16040,-84,439,-154
42,6295,1232,4200,16516,333,-207,59
43,6448,992,3948,15856,490,91,-133
44,6601,1152,3716,16148,505,-158,-375
45,6754,1124,4256,16468,861,-544,261
46,6907,1220,3804,16316,478,266,-137
47,7060,1192,4332,16464,1041,-291,333
48,7213,1076,5024,17032,367,305,-302
49,7366,980,4528,15960,654,-355,-122
50,7519,1092,4288,16164,326,221,-107
51,7672,1348,3948,16464,1053,-717,70
52,7826,1160,4320,15776,716,134,310
53,7979,1260,4556,17208,303,1045,-330
54,8132,1196,4108,16780,1472,-816,247
55,8285,816,4680,16256,338,697,-259
56,8444,1344,4464,17000,444,-322,12
57,8597,1264,3660,16256,-806,1508,-800
58,8750,1388,3372,16340,1093,-886,179
59,8903,1304,4208,16396,372,669,-241
60,9056,1312,4620,17032,1022,-564,344
61,9210,1080,4408,16036,575,-457,-12
62,9363,1268,3712,16728,476,172,-21
63,9516,1148,3696,15932,299,354,-110
64,9669,884,5312,17084,501,-388,482
65,9822,916,4032,15856,-550,854,-658
66,9975,1036,4564,16892,637,-288,101
67,10128,912,4432,16316,257,156,96
68,10281,904,5120,16868,1363,-1362,425
69,10434,956,4272,16004,-381,1044,-941
70,10593,1348,4100,17244,583,-372,-65
71,10747,1096,3836,16100,804,301,67
72,10900,712,4540,16356,882,-302,128
73,11053,748,5056,16836,-103,852,-416
74,11206,820,4252,16400,268,-313,-330
75,11359,940,3940,16248,-262,760,-253
76,11512,836,3872,16596,565,367,163
77,11665,-368,3380,15888,2065,1577,193
78,11818,-1764,3488,19576,977,8651,628
79,11971,-5116,3828,14140,-825,11650,-1174
80,12124,-6608,2708,13984,-14,4774,-286
81,12277,-7628,2300,13344,-346,3769,-787
82,12430,-8292,1652,12816,1220,1717,-55
83,12590,-10108,2704,12588,1135,3879,-617
84,12743,-10540,2104,13028,-364,2621,-1092
85,12896,-11532,1884,11612,34,608,-713
86,13049,-11120,1180,11716,620,1429,-834
87,13202,-12628,268,10936,1422,-421,174
88,13355,-13312,820,9868,835,1275,612
89,13508,-13372,960,9532,125,2071,-291
90,13661,-13152,592,9224,378,-87,-228
91,13814,-13316,352,9592,254,-28,-580
92,13967,-13276,-104,9824,260,766,301
93,14120,-13300,364,9656,169,519,-84
94,14274,-13876,932,9124,258,1013,-87
95,14427,-13832,416,9516,489,170,-154
96,14586,-13556,368,9120,330,438,-101
97,14739,-13848,296,9620,175,1581,104
98,14892,-14080,484,8720,96,1386,-155
99,15045,-14036,-44,7888,12,508,-487
100,15198,-13996,-188,8560,6,791,-2
101,15351,-14380,120,8340,329,158,110
102,15504,-14368,316,8168,513,641,47
103,15657,-14300,64,7732,678,89,-263
104,15811,-14128,-124,7892,465,183,-218
105,15964,-14668,-4,7284,358,859,-152
106,16117,-13996,-280,7080,455,931,-392
107,16270,-14220,-140,8048,263,297,-225
108,16423,-14652,312,7212,246,225,-170
109,16576,-14444,-184,7136,359,81,-267
110,16735,-14300,-136,7552,307,247,-244
111,16888,-15112,244,7488,530,16,92
112,17042,-14680,-44,6884,805,-57,218
113,17195,-15016,640,7112,621,139,1
114,17348,-14460,268,7232,283,295,-303
115,17501,-14300,-204,7156,797,-179,13
116,17654,-14272,-208,7060,475,484,229
117,17807,-14704,316,7364,248,281,-385
118,17960,-14728,-348,6384,287,1655,206
119,18113,-14784,452,6792,335,109,-148
120,18266,-14788,272,6692,351,-250,-399
121,18419,-14880,176,6792,306,-66,-189
122,18572,-14728,0,7036,327,174,-91
123,18732,-14804,200,7176,336,-118,-111
124,18885,-15060,692,6908,509,-28,-200
125,19038,-15100,456,6200,907,-371,-411
126,19191,-14624,-40,6780,382,438,-112
127,19344,-14680,288,6692,590,79,12
128,19497,-14640,-144,7404,766,-259,-64
